msisdn,risk_score,risk_tier,source,trigger_reason,source_file
eRJ72gJVqa/dioFOVvqbug==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (474 calls),fraud_model_1_1_pending
1aPqrajw9DfiY0MbjbeCVw==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (20 calls),fraud_model_1_1_pending
44uarIaJ52qEHaGpu6TWQg==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (44 calls),fraud_model_1_1_pending
shV6+tdUyEU1XDnLFiJfmQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (28 calls),fraud_model_1_1_pending
Dpj/6LCK+z9T1PWcVWALkA==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (11 calls),fraud_model_1_1_pending
velr2KFLpfP33olI1Ky+DQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (11 calls),fraud_model_1_1_pending
grFTkjMhUJx/Mbimr61KCw==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (133 calls),fraud_model_1_1_pending
a7DIQ7/xz3EWI+IzDbfWbQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (7 calls),fraud_model_1_1_pending
Xddn+s6CbmCDj/j1jQFFRQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (52 calls),fraud_model_1_1_pending
MrPMtYqBZOut+qwM9LYxqQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (10 calls),fraud_model_1_1_pending
Jbp7CGzYZ6pnvSBt5iidBw==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (116 calls),fraud_model_1_1_pending
PaaCDbk3qX8yjiuu94htTw==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (66 calls),fraud_model_1_1_pending
K6Blrc2y75Q+dqv/MCwvtA==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (61 calls),fraud_model_1_1_pending
ruWHCScjPBOPqa+aGZBTxw==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (47 calls),fraud_model_1_1_pending
7wLJTwkmPAZVJHrxesA2MA==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (62 calls),fraud_model_1_1_pending
sLJWkcSsvv4RvRQmSS5dfg==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (7 calls),fraud_model_1_1_pending
5BnTYMFJD8Xto9GTb2188w==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (10 calls),fraud_model_1_1_pending
LtNajf6a7f8A3TQ6fYnmDA==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (12 calls),fraud_model_1_1_pending
ytGWKoSG6mXXfWEp/5RotQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (84 calls),fraud_model_1_1_pending
IKkuHJVfsqvmzQOq8kgQBQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (12 calls),fraud_model_1_1_pending
RHyLi43rleBIuOeInpjapA==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (27 calls),fraud_model_1_1_pending
tvfXWTJvveQnjT5zC2jGag==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (12 calls),fraud_model_1_1_pending
bFxQ63crOlBcl+PzjqF/ww==,1.0,BLACK,RULE,"R2_Wangiri: 138 outgoing, 0 incoming (threshold: 121)",fraud_model_1_1_pending
wqy9G8rd5Eh2j2rHwZvAkQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (642 calls),fraud_model_1_1_pending
IcYbR14l0A41klrH5aXNhQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (117 calls),fraud_model_1_1_pending
8eFA5LR/83olnF5btjkx0w==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (6 calls),fraud_model_1_1_pending
GAgNSCwqiHpnYzbLmyqRwQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (6 calls),fraud_model_1_1_pending
KjpYRZDqsXlNBmqpkpWj4Q==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (50 calls),fraud_model_1_1_pending
KvdDLTHOKZEEn5T50FAP9g==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (19 calls),fraud_model_1_1_pending
RlxKvNJ6zv3HUB1Bjgphbg==,1.0,BLACK,RULE,"R7_ShortBurst: 4s avg duration, 46 calls",fraud_model_1_1_pending
tYNXxaCiL8jCyhR0JB1Few==,1.0,BLACK,RULE,"R2_Wangiri: 144 outgoing, 0 incoming (threshold: 121)",fraud_model_1_1_pending
3Ie6nrHRgtIexp5dnpBT4A==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (9 calls),fraud_model_1_1_pending
V9TqMYwfZuXLCXlzGtIc4g==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (88 calls),fraud_model_1_1_pending
9R6gJCVYdeVEhPzbF2V+Lw==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (18 calls),fraud_model_1_1_pending
gfbZ28lIqp3PPWU+wGp78w==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (30 calls),fraud_model_1_1_pending
J7QlPZS7siFfGJZZ34mIvw==,1.0,BLACK,RULE,"R7_ShortBurst: 14s avg duration, 50 calls",fraud_model_1_1_pending
Qz01i2IxY19xPqxrt6dmXA==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (15 calls),fraud_model_1_1_pending
+U8Nr6ACbrRFHlSc6SrE9w==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (7 calls),fraud_model_1_1_pending
P8hdQVr2EKw3yUulepq+fg==,1.0,BLACK,RULE,"R2_Wangiri: 150 outgoing, 0 incoming (threshold: 121)",fraud_model_1_1_pending
P1flRa/VA5AtngNyvQyNnw==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (13 calls),fraud_model_1_1_pending
8VUErPFY8MDjDh7jFMiVhQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (11 calls),fraud_model_1_1_pending
19+UxcEiCqLErEV2zl5Z2g==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (21 calls),fraud_model_1_1_pending
tzHRKzxv+zVAtfwArxqSbg==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (11 calls),fraud_model_1_1_pending
YJZsNGDumoLMcJkpJbg9UA==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (222 calls),fraud_model_1_1_pending
obnh0/lr8x2NWlYfz6Gpew==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (14 calls),fraud_model_1_1_pending
PC0lvjXUgz2C98qvUXkhxQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (104 calls),fraud_model_1_1_pending
9ZC2vtDUW4Nmp4SZrdc6OQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (14 calls),fraud_model_1_1_pending
/mMtA1yUtcZe8Tq7QgHtqg==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (6 calls),fraud_model_1_1_pending
XEqVHOo+stU1cPO+T3HXcQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (6 calls),fraud_model_1_1_pending
1sRqkdHfx5zzDqJRLmO/Mw==,1.0,BLACK,RULE,"R7_ShortBurst: 12s avg duration, 294 calls",fraud_model_1_1_pending
QKEsD7LRU7uylcSZq6FiKw==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (11 calls),fraud_model_1_1_pending
t8VL3VUwvqyigE1NdWJSqA==,1.0,BLACK,RULE,"R7_ShortBurst: 14s avg duration, 312 calls",fraud_model_1_1_pending
eiCVkKagNKwZol7ZHsLkwg==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (18 calls),fraud_model_1_1_pending
cU3lIzp9ZJ+g9Rb0k+E45g==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (47 calls),fraud_model_1_1_pending
9ry4QAwKZsznymgSdH/wuQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (756 calls),fraud_model_1_1_pending
34RcIOc0G3DXV40HZKjjOA==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (6 calls),fraud_model_1_1_pending
nIUiu9whNvsMRH+uUjT4Ww==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (26 calls),fraud_model_1_1_pending
FiVfR7tbrodKVytxWRC/PQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (17 calls),fraud_model_1_1_pending
Kp7OZfgssaAvcNbv5Dlaqg==,1.0,BLACK,RULE,"R7_ShortBurst: 11s avg duration, 84 calls",fraud_model_1_1_pending
PtBId5STVIMUh05EiRmB8Q==,1.0,BLACK,RULE,"R7_ShortBurst: 11s avg duration, 46 calls",fraud_model_1_1_pending
rCFGHv39s2c2bpo7IWJMbQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (23 calls),fraud_model_1_1_pending
Voy6EFgFgOtXBg1B3Gz9RQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (19 calls),fraud_model_1_1_pending
iANymJ+3jWax+PyFcs5Odw==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (19 calls),fraud_model_1_1_pending
iHIIKXMINrfIHoxCwjakFg==,1.0,BLACK,RULE,"R7_ShortBurst: 11s avg duration, 109 calls",fraud_model_1_1_pending
lk091Els+8ZYwYZvBbZt7g==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (7 calls),fraud_model_1_1_pending
b5eZxFNUbGf7sgfoA1CefQ==,1.0,BLACK,RULE,"R7_ShortBurst: 11s avg duration, 217 calls",fraud_model_1_1_pending
Atx5sMgG2qihz9ss2TA9gA==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (25 calls),fraud_model_1_1_pending
cBhaaiN6FngYgmi4/2oS5Q==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (24 calls),fraud_model_1_1_pending
9qh1dg7xnDGlx+fQgwlcSQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (9 calls),fraud_model_1_1_pending
bOOtfnNJ1XOVEQWdVIYPYw==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (9 calls),fraud_model_1_1_pending
hMcqBbyoa4IidjYA9Y8npg==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (75 calls),fraud_model_1_1_pending
OsHxVW9PSTxNZUfRgTKnLg==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (27 calls),fraud_model_1_1_pending
dOq8/fa/c/4UZAxStE/RxQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (27 calls),fraud_model_1_1_pending
ziFO+0BcFYzPXdHfB/x4yQ==,1.0,BLACK,RULE,"R7_ShortBurst: 12s avg duration, 241 calls",fraud_model_1_1_pending
NxeLuFww1nikJFg1NOTZbg==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (7 calls),fraud_model_1_1_pending
i1DSAwzGpS4QXChUIiS6ZQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (144 calls),fraud_model_1_1_pending
c1sQen4LNmqRifKJ2Mn2HA==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (8 calls),fraud_model_1_1_pending
J7L09cVHNEtc2dgYJDxNkA==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (36 calls),fraud_model_1_1_pending
fMAICehZvEc+LrZiK7lkqA==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (7 calls),fraud_model_1_1_pending
Zzi4EF1MG9l9vSREHFPuRw==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (12 calls),fraud_model_1_1_pending
B/arwedvspCKNkSgDxY3sw==,1.0,BLACK,RULE,"R2_Wangiri: 148 outgoing, 0 incoming (threshold: 121)",fraud_model_1_1_pending
hVHpRu5XN7JTscXaBH/itg==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (53 calls),fraud_model_1_1_pending
bJix9aAXRDvZd3pfL0jrTw==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (18 calls),fraud_model_1_1_pending
XRI9e+EDTErYB6RRWquZJw==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (6 calls),fraud_model_1_1_pending
1fyL3en58ApO3N6HdwTG3A==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (6 calls),fraud_model_1_1_pending
CzSu+YQkQHrr6aZXylak7Q==,1.0,BLACK,RULE,"R7_ShortBurst: 10s avg duration, 44 calls",fraud_model_1_1_pending
c7pUIOHEVUZKiGkfnTPxwg==,1.0,BLACK,RULE,"R2_Wangiri: 218 outgoing, 0 incoming (threshold: 121)",fraud_model_1_1_pending
uHrd6zzcpt+jAFjfsXK4FA==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (9 calls),fraud_model_1_1_pending
u3/so9py7EHuWRwn2jqGOw==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (174 calls),fraud_model_1_1_pending
vfgqCb2Ou0Pd+3AWoxDaHg==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (36 calls),fraud_model_1_1_pending
6jFmzQLkPLUG8041j4dLWA==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (7 calls),fraud_model_1_1_pending
/O0/uRBrD8LmqVMFehmweA==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (7 calls),fraud_model_1_1_pending
hNVO/CO0aNo2TCjlQTQghw==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (13 calls),fraud_model_1_1_pending
+GjnUA9iGKtu2S33gCOgcg==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (23 calls),fraud_model_1_1_pending
KogJnPgN7thuHzfDYUqALQ==,1.0,BLACK,RULE,"R7_ShortBurst: 10s avg duration, 519 calls",fraud_model_1_1_pending
0DXhUlL5r9mxZyTf+1ypzQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (6 calls),fraud_model_1_1_pending
lo8XH5dI+o6kreVcsXHFpA==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (13 calls),fraud_model_1_1_pending
ChLfwP+HGNR+XFkNwrw4fg==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (26 calls),fraud_model_1_1_pending
+cYQBlkw0ZzBNeg+F/VIqw==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (61 calls),fraud_model_1_1_pending
C3zYTAsKqaWSmlPjPEHpyg==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (6 calls),fraud_model_1_1_pending
5jNCNBxvA9AvhG8bVtyCVw==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (61 calls),fraud_model_1_1_pending
MaJVYC/Sh8qpady2z9SJkQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (10 calls),fraud_model_1_1_pending
dEQiHYG4jUFVKTYZb+HM8g==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (578 calls),fraud_model_1_1_pending
UK+Sp2js87VwHJSQ3+eIyA==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (12 calls),fraud_model_1_1_pending
ysHfXPoj9t0Y/xo7aDqewQ==,1.0,BLACK,RULE,"R7_ShortBurst: 5s avg duration, 81 calls",fraud_model_1_1_pending
P0ewJ7SsvcidyItbroirxw==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (97 calls),fraud_model_1_1_pending
DdcqNIx+1+Knv9wXFME6JQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (15 calls),fraud_model_1_1_pending
req5VCcaSkL0BxyvosnIjg==,1.0,BLACK,RULE,"R2_Wangiri: 141 outgoing, 0 incoming (threshold: 121)",fraud_model_1_1_pending
tN+KcVxkyIMs8+uEn85G3g==,1.0,BLACK,RULE,"R2_Wangiri: 171 outgoing, 0 incoming (threshold: 121)",fraud_model_1_1_pending
2656AEXj7uyF+Xbl8WIc3A==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (43 calls),fraud_model_1_1_pending
OBzx2+s1XrTJMvEX0lqRhA==,1.0,BLACK,RULE,"R7_ShortBurst: 12s avg duration, 328 calls",fraud_model_1_1_pending
nwY3g6B0GeoWJoS1Li6RKg==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (6 calls),fraud_model_1_1_pending
6dsnVXMasjCK02BChJ+r6g==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (10 calls),fraud_model_1_1_pending
+86rvdy6slj08PHwOFsNrQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (244 calls),fraud_model_1_1_pending
v7i6at7LRJsKZKN9PE/d7A==,1.0,BLACK,RULE,"R2_Wangiri: 149 outgoing, 0 incoming (threshold: 121)",fraud_model_1_1_pending
bo2KZjFrPVI3oBqKZFLNIA==,1.0,BLACK,RULE,"R2_Wangiri: 244 outgoing, 0 incoming (threshold: 121)",fraud_model_1_1_pending
Xbein4oNQBNy2LM343NLPg==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (730 calls),fraud_model_1_1_pending
F0lLyttsG3vfudr3ZShp8w==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (12 calls),fraud_model_1_1_pending
LQmEnZNKBIYPiRXfj3c6NA==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (415 calls),fraud_model_1_1_pending
o5BJo8JfS3O7dKk4368WGw==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (21 calls),fraud_model_1_1_pending
3BMBZIWsa/mkzj2QSoykmw==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (63 calls),fraud_model_1_1_pending
KKS1JDPESOohTqaW+ATn7A==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (13 calls),fraud_model_1_1_pending
lWbyk/37yQj+B+Y9bwsYZA==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (30 calls),fraud_model_1_1_pending
ldE/REsa4KXX8w/vhVP/kg==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (25 calls),fraud_model_1_1_pending
fR3oVJf5bpmyoCZcAOFQpw==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (25 calls),fraud_model_1_1_pending
s8RuAw6kvAg/rcbh796jrg==,1.0,BLACK,RULE,"R2_Wangiri: 159 outgoing, 0 incoming (threshold: 121)",fraud_model_1_1_pending
qFJzDd6YgqLkpsTumXm/Ow==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (6 calls),fraud_model_1_1_pending
KINYh8OfSt8XIX/hvksp5g==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (7 calls),fraud_model_1_1_pending
I89ssZ2ms9hLlROKjO54Xw==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (35 calls),fraud_model_1_1_pending
CSKKoBIUQTJvKIS3S6ahuA==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (23 calls),fraud_model_1_1_pending
nnir0rdZktN5W51oVMYPvQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (11 calls),fraud_model_1_1_pending
D5bY0oOi1GQLYhUo0Ie9Ng==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (38 calls),fraud_model_1_1_pending
oinH6I05S971C6Oy4A2UwQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (9 calls),fraud_model_1_1_pending
6INwsKZDAXexIiUE/GxTcg==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (12 calls),fraud_model_1_1_pending
TdDUHUlHhGzZIxiIZxuNZQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (9 calls),fraud_model_1_1_pending
ut7yOk3ekfJpR2AJZGiHhQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (14 calls),fraud_model_1_1_pending
O32sspjtkZH2rfhaEjQBjQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (9 calls),fraud_model_1_1_pending
lGRlKfgfDm/l2WUMQcSjbA==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (14 calls),fraud_model_1_1_pending
+yeLTM6Nh1dewW7+aLRSqw==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (35 calls),fraud_model_1_1_pending
JF70JaFHNfyhSPeGlOxNLA==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (69 calls),fraud_model_1_1_pending
sumfVzSB8wGbJbgula/KbQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (12 calls),fraud_model_1_1_pending
lITpoxMYG4I5ENWVV+Nnzw==,1.0,BLACK,RULE,"R7_ShortBurst: 11s avg duration, 35 calls",fraud_model_1_1_pending
DZyJvxUXK90vSr67Q6lcXg==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (27 calls),fraud_model_1_1_pending
lh+sPWuYR8gKm58/GnxJPA==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (230 calls),fraud_model_1_1_pending
9uB7zN8Srh97MuvuZf8Z1g==,1.0,BLACK,RULE,"R7_ShortBurst: 12s avg duration, 229 calls",fraud_model_1_1_pending
+9pcrmlEL4XwwLnkgwN+IA==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (49 calls),fraud_model_1_1_pending
ObwWNMLFIHPpEqfszTl58Q==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (17 calls),fraud_model_1_1_pending
Q13Dm1WSJlLOEWCWn8YxdQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (6 calls),fraud_model_1_1_pending
BNa494ozTNZGWeUVZYeXQg==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (40 calls),fraud_model_1_1_pending
e2un9bt3Mej7gqKXrH2plQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (6 calls),fraud_model_1_1_pending
