msisdn,iden_type_first,post_or_ppd_first,ntwk_type_first,open_dt_first,source_list_first,call_cnt_day_mean,called_cnt_day_mean,call_cnt_day_2s_mean,call_cnt_day_3m_mean,dispersion_rate_mean,roam_unknow_call_cnt_sum,local_unknow_call_cnt_sum,change_imei_times_max,opp_num_stu_cnt_max,stat_dt_min,stat_dt_max,stat_dt_count,is_passport,is_prepaid,total_calls,outbound_ratio,is_silent_receiver,short_call_ratio,roaming_ratio,is_sms_heavy,active_days,archetype,cluster
/I2F4bgFy/Mu2RbyDb98dQ==,香港身份證,预付,4G,20250514.0,fraud_model_2,4.0,0.0,0.0,0.0,0.0,0,0,0,0,20250911,20250911,18,0,1,4.0,0.8,1,0.0,0.0,0,18,Wangiri Caller,5
/MMNBYB54rfw7Pq7vwybqQ==,香港身份證,预付,5G,20250902.0,fraud_model_2,10.0,0.0,0.0,0.0,0.0,0,0,0,0,20251001,20251001,64,0,1,10.0,0.9090909090909091,1,0.0,0.0,0,64,Wangiri Caller,5
/Qah6J+b5/yb+8sI2sk/XA==,香港身份證,预付,4G,20250505.0,fraud_model_2,17.0,0.0,0.0,0.0,0.0,0,0,0,0,20250911,20250911,8,0,1,17.0,0.9444444444444444,1,0.0,0.0,0,8,Wangiri Caller,1
/Zpfcg3LQL7W7nD+m6/40Q==,護照,预付,4G,20240801.0,fraud_model_2,49.0,0.0,0.0,0.0,0.0,0,0,0,0,20251027,20251027,6,1,1,49.0,0.98,1,0.0,0.0,0,6,Wangiri Caller,4
/d7NkveUvEaFAOZhHvG5/A==,香港身份證,预付,5G,20250902.0,fraud_model_2,75.0,0.0,0.0,0.0,0.0,0,0,0,0,20251002,20251002,48,0,1,75.0,0.9868421052631579,1,0.0,0.0,0,48,Wangiri Caller,4
/h+LwftgaFAG9B8PuE5crg==,香港身份證,预付,5G,20250902.0,fraud_model_2,15.0,0.0,0.0,0.0,0.0,0,0,0,0,20250928,20250928,48,0,1,15.0,0.9375,1,0.0,0.0,0,48,Wangiri Caller,1
/pLmoJ0qDXs2/obG0YZZ7g==,香港身份證,预付,4G,20230220.0,blacklist,82.0,0.0,0.0,0.0,0.0,0,0,0,0,20251027,20251027,4,0,1,82.0,0.9879518072289156,1,0.0,0.0,0,4,Wangiri Caller,0
/tnFnr1f81txVgslFzFbNg==,香港身份證,预付,4G,20200505.0,blacklist,15.0,0.0,0.0,0.0,0.0,0,0,0,0,20250906,20250906,1,0,1,15.0,0.9375,1,0.0,0.0,0,1,Wangiri Caller,1
/wQy+WeARBPiW0+tdulwZQ==,往來港澳通行證,预付,4G,20250411.0,fraud_model_2,14.0,0.0,0.0,0.0,0.0,0,0,0,0,20250721,20250721,18,0,1,14.0,0.9333333333333333,1,0.0,0.0,0,18,Wangiri Caller,1
/wZlELIGTKWYlEdebP4IdQ==,香港身份證,预付,5G,20250902.0,fraud_model_2,13.0,0.0,0.0,0.0,0.0,0,0,0,0,20251010,20251010,72,0,1,13.0,0.9285714285714286,1,0.0,0.0,0,72,Wangiri Caller,1
0D51qDoqQPd4BSOckZS3fw==,護照,预付,4G,20240801.0,fraud_model_2,12.0,0.0,0.0,0.0,0.0,0,0,0,0,20251003,20251003,6,1,1,12.0,0.9230769230769231,1,0.0,0.0,0,6,Wangiri Caller,5
0DMjv9UJQZoh+ogdTKawzw==,香港身份證,预付,4G,20250514.0,fraud_model_2,49.0,0.0,0.0,0.0,0.0,0,0,0,0,20250909,20250909,16,0,1,49.0,0.98,1,0.0,0.0,0,16,Wangiri Caller,4
0OgvyCP5M5Kt2S6qtz5ZZw==,香港身份證,预付,4G,20250502.0,fraud_model_2,33.0,0.0,0.0,0.0,0.0,0,0,0,0,20250912,20250912,8,0,1,33.0,0.9705882352941176,1,0.0,0.0,0,8,Wangiri Caller,1
0f10LURrE4yp9gDPUdxiFw==,香港身份證,预付,5G,20250903.0,fraud_model_2,34.0,0.0,0.0,0.0,0.0,0,0,0,0,20250929,20250929,64,0,1,34.0,0.9714285714285714,1,0.0,0.0,0,64,Wangiri Caller,1
0g9BJPiQ7wxojjFZqiYobg==,香港身份證,预付,5G,20250903.0,fraud_model_2,54.0,0.0,0.0,0.0,0.0,0,0,0,0,20250926,20250926,4,0,1,54.0,0.9818181818181818,1,0.0,0.0,0,4,Wangiri Caller,4
0gEtbpnptsNuv2wz4n4A3w==,香港身份證,预付,5G,20250903.0,fraud_model_2,34.0,0.0,0.0,0.0,0.0,0,0,0,0,20250925,20250925,12,0,1,34.0,0.9714285714285714,1,0.0,0.0,0,12,Wangiri Caller,1
0hEeLx4EH7E+HjeujLAk5Q==,香港身份證,预付,5G,20250330.0,fraud_model_2,11.0,0.0,0.0,0.0,0.0,0,0,0,0,20250913,20250913,24,0,1,11.0,0.9166666666666666,1,0.0,0.0,0,24,Wangiri Caller,5
0hRKdAsSbZPUR7QNMb4Tmw==,護照,预付,4G,20240801.0,fraud_model_2,18.0,0.0,0.0,0.0,0.0,0,0,0,0,20251003,20251003,12,1,1,18.0,0.9473684210526315,1,0.0,0.0,0,12,Wangiri Caller,1
0tgljxJTAM+70IA7xDNLlw==,香港身份證,预付,5G,20250902.0,fraud_model_2,4.0,0.0,0.0,0.0,0.0,0,0,0,0,20251024,20251024,16,0,1,4.0,0.8,1,0.0,0.0,0,16,Wangiri Caller,5
12IE9tTHPT2+Nmb2Dz0hqA==,香港身份證,预付,4G,20250502.0,fraud_model_2,30.0,0.0,0.0,0.0,0.0,0,0,0,0,20250909,20250909,4,0,1,30.0,0.967741935483871,1,0.0,0.0,0,4,Wangiri Caller,1
12wjZ9ycUDqTsVwB8N8PjQ==,商業登記證,预付,4G,20250505.0,fraud_model_2,35.0,0.0,0.0,0.0,0.0,0,0,0,0,20250907,20250907,24,0,1,35.0,0.9722222222222222,1,0.0,0.0,0,24,Wangiri Caller,1
161polGRVoisH6hSIfL14Q==,Hong Kong ID,后付,5G,20250907.0,blacklist,239.0,0.0,0.0,0.0,0.0,0,0,0,0,20250918,20250918,1,0,0,239.0,0.9958333333333333,1,0.0,0.0,0,1,Wangiri Caller,0
1E22neVJjq78e30cqXM4UA==,香港身份證,预付,4G,20250508.0,fraud_model_2,73.0,0.0,0.0,0.0,0.0,0,0,0,0,20250918,20250918,2,0,1,73.0,0.9864864864864865,1,0.0,0.0,0,2,Wangiri Caller,4
1LwUSJwKLKONI+Ob/fcMpg==,香港身份證,预付,4G,20250514.0,fraud_model_2,28.0,0.0,0.0,0.0,0.0,0,0,0,0,20250904,20250904,32,0,1,28.0,0.9655172413793104,1,0.0,0.0,0,32,Wangiri Caller,1
1PPIYfJ+TuoZOvQQyBnb5Q==,0,预付,5G,20240927.0,fraud_model_2,26.0,0.0,0.0,0.0,0.0,0,0,0,0,20250914,20250914,24,0,1,26.0,0.9629629629629629,1,0.0,0.0,0,24,Wangiri Caller,1
1V3QfEeohhFBZblhk0gjQA==,0,预付,5G,20250902.0,blacklist,23.0,0.0,0.0,0.0,0.0,0,0,0,0,20250930,20250930,18,0,1,23.0,0.9583333333333334,1,0.0,0.0,0,18,Wangiri Caller,1
1fIw3ae2rQmTPtQSEC4L0A==,香港身份證,预付,5G,20251009.0,fraud_model_2,57.0,0.0,0.0,0.0,0.0,0,0,0,0,20251026,20251026,12,0,1,57.0,0.9827586206896551,1,0.0,0.0,0,12,Wangiri Caller,4
1gLcu76kh28tvMsWVjvQ1g==,香港身份證,预付,5G,20250902.0,fraud_model_2,40.0,0.0,0.0,0.0,0.0,0,0,0,0,20250925,20250925,24,0,1,40.0,0.975609756097561,1,0.0,0.0,0,24,Wangiri Caller,4
1kZM41sofn/n4Sh/gWOvRg==,香港身份證,预付,5G,20250902.0,fraud_model_2,42.0,0.0,0.0,0.0,0.0,0,0,0,0,20251013,20251013,54,0,1,42.0,0.9767441860465116,1,0.0,0.0,0,54,Wangiri Caller,4
1tNnKlGgj3SoHn8yPlDxCQ==,香港身份證,预付,5G,20250902.0,fraud_model_2,14.0,0.0,0.0,0.0,0.0,0,0,0,0,20251012,20251012,24,0,1,14.0,0.9333333333333333,1,0.0,0.0,0,24,Wangiri Caller,1
1wdjtsNALiBBWR3anYG/Pw==,香港身份證,预付,5G,20250903.0,fraud_model_2,38.0,0.0,0.0,0.0,0.0,0,0,0,0,20250918,20250918,72,0,1,38.0,0.9743589743589743,1,0.0,0.0,0,72,Wangiri Caller,1
1xMjnAPBDErra9yverXjLQ==,香港身份證,预付,5G,20250902.0,fraud_model_2,53.0,0.0,0.0,0.0,0.0,0,0,0,0,20251005,20251005,48,0,1,53.0,0.9814814814814815,1,0.0,0.0,0,48,Wangiri Caller,4
1yfls30m1YTFqL4eOzxkaQ==,商業登記證,预付,5G,20250330.0,fraud_model_2,18.0,0.0,0.0,0.0,0.0,0,0,0,0,20250911,20250911,36,0,1,18.0,0.9473684210526315,1,0.0,0.0,0,36,Wangiri Caller,1
2DI5xBPANOs62SThW9WTIg==,香港身份證,预付,4G,20251016.0,fraud_model_2,72.0,1.0,0.0,0.0,0.0,0,0,0,0,20251110,20251110,3,0,1,73.0,0.972972972972973,0,0.0,0.0,0,3,Outbound Only,2
2DSQYqPN8TK52zQqmHfp+g==,香港身份證,预付,4G,20250505.0,fraud_model_2,49.0,0.0,0.0,0.0,0.0,0,0,0,0,20250912,20250912,8,0,1,49.0,0.98,1,0.0,0.0,0,8,Wangiri Caller,4
2DUBmnUeS/0nBEEoJyxwgg==,護照,预付,4G,20240801.0,fraud_model_2,13.0,0.0,0.0,0.0,0.0,0,0,0,0,20251003,20251003,4,1,1,13.0,0.9285714285714286,1,0.0,0.0,0,4,Wangiri Caller,1
2NNyJjJW+oMx+RChYm0F4A==,香港身份證,预付,5G,20250903.0,fraud_model_2,46.0,0.0,0.0,0.0,0.0,0,0,0,0,20251007,20251007,12,0,1,46.0,0.9787234042553191,1,0.0,0.0,0,12,Wangiri Caller,4
2OcwE0C3w5vvvO9MBvpaCg==,往來港澳通行證,预付,5G,20240927.0,fraud_model_2,38.0,0.0,0.0,0.0,0.0,0,0,0,0,20250914,20250914,2,0,1,38.0,0.9743589743589743,1,0.0,0.0,0,2,Wangiri Caller,1
2QyvFCtMyqPQ772k+Aa1rw==,香港身份證,预付,5G,20250903.0,fraud_model_2,30.0,0.0,0.0,0.0,0.0,0,0,0,0,20250918,20250918,64,0,1,30.0,0.967741935483871,1,0.0,0.0,0,64,Wangiri Caller,1
2mFnBcAYbSTFAVaFFPzeig==,香港身份證,预付,4G,20250502.0,fraud_model_2,45.0,0.0,0.0,0.0,0.0,0,0,0,0,20250825,20250825,32,0,1,45.0,0.9782608695652174,1,0.0,0.0,0,32,Wangiri Caller,4
3+H4sda312upZfU0MR+2iw==,香港身份證,预付,4G,20250514.0,fraud_model_2,22.0,0.0,0.0,0.0,0.0,0,0,0,0,20250906,20250906,24,0,1,22.0,0.9565217391304348,1,0.0,0.0,0,24,Wangiri Caller,1
36ocSHB+ijylOcUQ5QMclQ==,護照,预付,4G,20240801.0,fraud_model_2,63.0,0.0,0.0,0.0,0.0,0,0,0,0,20251019,20251019,4,1,1,63.0,0.984375,1,0.0,0.0,0,4,Wangiri Caller,4
3KH3PgK+hBkv2LLWYqyv5w==,Hong Kong ID,后付,5G,20250520.0,blacklist,136.0,2.0,0.0,0.0,0.0,0,0,0,0,20250818,20250818,1,0,0,138.0,0.9784172661870504,0,0.0,0.0,0,1,Outbound Only,2
3KHJzlW7GS++QgWBAukViw==,香港身份證,预付,4G,20250502.0,fraud_model_2,46.0,0.0,0.0,0.0,0.0,0,0,0,0,20250918,20250918,2,0,1,46.0,0.9787234042553191,1,0.0,0.0,0,2,Wangiri Caller,4
3dHyFbRV/pCZfqgOv5EqEQ==,香港身份證,预付,5G,20250903.0,fraud_model_2,40.0,0.0,0.0,0.0,0.0,0,0,0,0,20250927,20250927,8,0,1,40.0,0.975609756097561,1,0.0,0.0,0,8,Wangiri Caller,4
3jWd6epqkcvIwDFzoJ8N/Q==,香港身份證,预付,4G,20250505.0,fraud_model_2,35.0,0.0,0.0,0.0,0.0,0,0,0,0,20250911,20250911,24,0,1,35.0,0.9722222222222222,1,0.0,0.0,0,24,Wangiri Caller,1
3qIzNqq4C2joAcSLsoswGw==,往來港澳通行證,预付,4G,20241030.0,fraud_model_2,25.0,0.0,0.0,0.0,0.0,0,0,0,0,20250812,20250812,16,0,1,25.0,0.9615384615384616,1,0.0,0.0,0,16,Wangiri Caller,1
3su6Sf11fx1PxK3vHoa1Og==,0,预付,4G,20241029.0,blacklist,8.0,0.0,0.0,0.0,0.0,0,0,0,0,20251009,20251009,24,0,1,8.0,0.8888888888888888,1,0.0,0.0,0,24,Wangiri Caller,5
3zjQD7qdmoTdWECpFzALVA==,護照,预付,4G,20240801.0,fraud_model_2,60.0,0.0,0.0,0.0,0.0,0,0,0,0,20251027,20251027,12,1,1,60.0,0.9836065573770492,1,0.0,0.0,0,12,Wangiri Caller,4
40owhS58yEJOAuXVkSqEHQ==,香港身份證,预付,4G,20250502.0,fraud_model_2,49.0,0.0,0.0,0.0,0.0,0,0,0,0,20250917,20250917,16,0,1,49.0,0.98,1,0.0,0.0,0,16,Wangiri Caller,4
40xBw7cFG18cV3HJpECxGQ==,香港身份證,预付,4G,20250413.0,fraud_model_2,10.0,0.0,0.0,0.0,0.0,0,0,0,0,20250929,20250929,24,0,1,10.0,0.9090909090909091,1,0.0,0.0,0,24,Wangiri Caller,5
48+vkCscVi+YlThpSZxgzA==,香港身份證,预付,5G,20250903.0,fraud_model_2,41.0,0.0,0.0,0.0,0.0,0,0,0,0,20250926,20250926,8,0,1,41.0,0.9761904761904762,1,0.0,0.0,0,8,Wangiri Caller,4
48uylMmWQZUU8fSaq2V3/Q==,往來港澳通行證,预付,4G,20240522.0,fraud_model_2,51.0,0.0,0.0,0.0,0.0,0,0,0,0,20250820,20250820,8,0,1,51.0,0.9807692307692307,1,0.0,0.0,0,8,Wangiri Caller,4
4GB4HyNwmz27wd2I5jTEQg==,香港身份證,预付,4G,20250502.0,fraud_model_2,63.0,0.0,0.0,0.0,0.0,0,0,0,0,20250905,20250905,8,0,1,63.0,0.984375,1,0.0,0.0,0,8,Wangiri Caller,4
4dKJUT+RfECTxVWiGNQaqw==,香港身份證,预付,4G,20250413.0,fraud_model_2,39.0,2.0,0.0,0.0,0.0,0,0,0,0,20251114,20251114,3,0,1,41.0,0.9285714285714286,0,0.0,0.0,0,3,Outbound Only,2
4jvf5zHr2aELvC9Pp26pnA==,香港身份證,预付,5G,20250902.0,fraud_model_2,18.0,0.0,0.0,0.0,0.0,0,0,0,0,20251024,20251024,32,0,1,18.0,0.9473684210526315,1,0.0,0.0,0,32,Wangiri Caller,1
4npsnJHR2GYbzjxsNnnXPQ==,香港身份證,预付,5G,20250902.0,fraud_model_2,17.0,0.0,0.0,0.0,0.0,0,0,0,0,20251027,20251027,6,0,1,17.0,0.9444444444444444,1,0.0,0.0,0,6,Wangiri Caller,1
5/sh3gWBqstXDokKHQzOyw==,香港身份證,预付,5G,20250903.0,fraud_model_2,23.0,0.0,0.0,0.0,0.0,0,0,0,0,20250928,20250928,128,0,1,23.0,0.9583333333333334,1,0.0,0.0,0,128,Wangiri Caller,1
54CI8FoJimiYiav7AGrLug==,香港身份證,预付,4G,20250414.0,fraud_model_2,64.0,0.0,0.0,0.0,0.0,0,0,0,0,20250826,20250826,6,0,1,64.0,0.9846153846153847,1,0.0,0.0,0,6,Wangiri Caller,4
56cCFvSTJKn6MctORTr+/Q==,香港身份證,预付,5G,20250902.0,fraud_model_2,19.0,0.0,0.0,0.0,0.0,0,0,0,0,20250925,20250925,48,0,1,19.0,0.95,1,0.0,0.0,0,48,Wangiri Caller,1
58vR7uCFlTe5shfpmxbulA==,香港身份證,预付,5G,20250902.0,fraud_model_2,10.0,0.0,0.0,0.0,0.0,0,0,0,0,20251012,20251012,96,0,1,10.0,0.9090909090909091,1,0.0,0.0,0,96,Wangiri Caller,5
5Ba4wIDFlvANngoXEnZnRQ==,香港身份證,预付,5G,20250902.0,fraud_model_2,11.0,0.0,0.0,0.0,0.0,0,0,0,0,20250924,20250924,24,0,1,11.0,0.9166666666666666,1,0.0,0.0,0,24,Wangiri Caller,5
5L0GImi7SOpbIx0i+3WwXA==,香港身份證,预付,4G,20250505.0,fraud_model_2,25.0,0.0,0.0,0.0,0.0,0,0,0,0,20250911,20250911,36,0,1,25.0,0.9615384615384616,1,0.0,0.0,0,36,Wangiri Caller,1
5V8Mh6IXPLnr4bJb0oPpTw==,香港身份證,预付,4G,20250502.0,fraud_model_2,74.0,0.0,0.0,0.0,0.0,0,0,0,0,20250822,20250822,16,0,1,74.0,0.9866666666666667,1,0.0,0.0,0,16,Wangiri Caller,4
5ZXUhNXR0mC/BM+KF/F1Hw==,香港身份證,预付,5G,20250902.0,fraud_model_2,79.0,0.0,0.0,0.0,0.0,0,0,0,0,20251009,20251009,72,0,1,79.0,0.9875,1,0.0,0.0,0,72,Wangiri Caller,0
5eSTY2mEXVyHONovJUO8Gw==,護照,预付,4G,20240801.0,fraud_model_2,50.0,0.0,0.0,0.0,0.0,0,0,0,0,20251027,20251027,4,1,1,50.0,0.9803921568627451,1,0.0,0.0,0,4,Wangiri Caller,4
5hw3RA1OrIJTNRIxPsASGw==,香港身份證,预付,4G,20250505.0,fraud_model_2,105.0,0.0,0.0,0.0,0.0,0,0,0,0,20250909,20250909,2,0,1,105.0,0.9905660377358491,1,0.0,0.0,0,2,Wangiri Caller,0
5m0SVzt2fDRj+5V/up52YQ==,往來港澳通行證,预付,4G,20250301.0,fraud_model_2,14.0,0.0,0.0,0.0,0.0,0,0,0,0,20250815,20250815,32,0,1,14.0,0.9333333333333333,1,0.0,0.0,0,32,Wangiri Caller,1
5ncb7Db9AtMNUpvea8Sbkw==,往來港澳通行證,预付,5G,20250330.0,fraud_model_2,18.0,0.0,0.0,0.0,0.0,0,0,0,0,20250810,20250810,12,0,1,18.0,0.9473684210526315,1,0.0,0.0,0,12,Wangiri Caller,1
5oljUIDl23XEBc6crIcaUg==,Hong Kong ID,后付,4GLite,20130611.0,blacklist,234.0,6.0,0.0,0.0,0.0,0,0,0,0,20251023,20251023,1,0,0,240.0,0.970954356846473,0,0.0,0.0,0,1,Outbound Only,2
5q9vUDLYpfl0Ecj16Z+0dw==,香港身份證,预付,4G,20250502.0,fraud_model_2,59.0,0.0,0.0,0.0,0.0,0,0,0,0,20250916,20250916,80,0,1,59.0,0.9833333333333333,1,0.0,0.0,0,80,Wangiri Caller,4
5qLpRp1alQ7r9Ktuy8oRAQ==,香港身份證,预付,5G,20250902.0,fraud_model_2,28.0,0.0,0.0,0.0,0.0,0,0,0,0,20250922,20250922,72,0,1,28.0,0.9655172413793104,1,0.0,0.0,0,72,Wangiri Caller,1
5tBTGwuzARkKbvzmhQw3YA==,香港身份證,预付,4G,20250413.0,fraud_model_2,28.0,0.0,0.0,0.0,0.0,0,0,0,0,20250913,20250913,16,0,1,28.0,0.9655172413793104,1,0.0,0.0,0,16,Wangiri Caller,1
5tpWKUogCBJZwewsNErJIQ==,香港身份證,预付,5G,20250902.0,fraud_model_2,41.0,0.0,0.0,0.0,0.0,0,0,0,0,20250922,20250922,4,0,1,41.0,0.9761904761904762,1,0.0,0.0,0,4,Wangiri Caller,4
6231W+AAEP3LwAccNOwJBA==,香港身份證,预付,4G,20250502.0,fraud_model_2,57.0,0.0,0.0,0.0,0.0,0,0,0,0,20250915,20250915,24,0,1,57.0,0.9827586206896551,1,0.0,0.0,0,24,Wangiri Caller,4
6320Ci9GZUuCb6s7rncIvw==,往來港澳通行證,预付,5G,20240927.0,fraud_model_2,40.0,0.0,0.0,0.0,0.0,0,0,0,0,20250912,20250912,8,0,1,40.0,0.975609756097561,1,0.0,0.0,0,8,Wangiri Caller,4
67VJCb3C9LMJCVvY60Ul5A==,香港身份證,预付,4G,20250413.0,fraud_model_2,10.0,0.0,0.0,0.0,0.0,0,0,0,0,20250830,20250830,48,0,1,10.0,0.9090909090909091,1,0.0,0.0,0,48,Wangiri Caller,5
6DGvC0UOG/hYwbuf9j5DCA==,香港身份證,预付,4G,20250502.0,fraud_model_2,55.0,0.0,0.0,0.0,0.0,0,0,0,0,20250916,20250916,12,0,1,55.0,0.9821428571428571,1,0.0,0.0,0,12,Wangiri Caller,4
6Grtmrkn81GbwRFbXVyU+g==,香港身份證,预付,5G,20250902.0,fraud_model_2,53.0,0.0,0.0,0.0,0.0,0,0,0,0,20251014,20251014,32,0,1,53.0,0.9814814814814815,1,0.0,0.0,0,32,Wangiri Caller,4
6IENLP8zqDW6hWkx3dqPTQ==,0,预付,4G,20250502.0,fraud_model_2,30.0,0.0,0.0,0.0,0.0,0,0,0,0,20250915,20250915,18,0,1,30.0,0.967741935483871,1,0.0,0.0,0,18,Wangiri Caller,1
6J8dVxfW2OwcqOj+sC/vMg==,香港身份證,预付,5G,20250903.0,fraud_model_2,11.0,0.0,0.0,0.0,0.0,0,0,0,0,20250922,20250922,36,0,1,11.0,0.9166666666666666,1,0.0,0.0,0,36,Wangiri Caller,5
6JIAgma9Y5W6vhtYqwQCOQ==,Hong Kong ID,后付,5G,20250907.0,blacklist,155.0,0.0,0.0,0.0,0.0,0,0,0,0,20250919,20250919,1,0,0,155.0,0.9935897435897436,1,0.0,0.0,0,1,Wangiri Caller,0
6OTfVb65s8+hEZ+oqxqA/w==,香港身份證,预付,5G,20250902.0,fraud_model_2,39.0,0.0,0.0,0.0,0.0,0,0,0,0,20251007,20251007,24,0,1,39.0,0.975,1,0.0,0.0,0,24,Wangiri Caller,1
6PQq5vNNVNFD9jP2r0roOg==,香港身份證,预付,5G,20250903.0,fraud_model_2,43.0,0.0,0.0,0.0,0.0,0,0,0,0,20250927,20250927,24,0,1,43.0,0.9772727272727273,1,0.0,0.0,0,24,Wangiri Caller,4
6Zd6Jkt5/Q2iaOkKxLIs6w==,香港身份證,预付,5G,20240827.0,fraud_model_2,72.0,0.0,0.0,0.0,0.0,0,0,0,0,20250828,20250828,8,0,1,72.0,0.9863013698630136,1,0.0,0.0,0,8,Wangiri Caller,4
6c0kOo9rRk25F4YlNfxivw==,香港身份證,预付,4G,20250413.0,fraud_model_2,8.0,0.0,0.0,0.0,0.0,0,0,0,0,20250830,20250830,18,0,1,8.0,0.8888888888888888,1,0.0,0.0,0,18,Wangiri Caller,5
6gPZtPOqhZSc46318xrz/Q==,香港身份證,预付,5G,20250902.0,fraud_model_2,41.0,0.0,0.0,0.0,0.0,0,0,0,0,20250928,20250928,48,0,1,41.0,0.9761904761904762,1,0.0,0.0,0,48,Wangiri Caller,4
6if47vqiudaT9mhuHhX7sg==,Hong Kong ID,后付,5G,20250906.0,blacklist,222.0,0.0,0.0,0.0,0.0,0,0,0,0,20251012,20251012,1,0,0,222.0,0.9955156950672646,1,0.0,0.0,0,1,Wangiri Caller,0
6jnFw5RtTVWnpSx6dx9PMg==,香港身份證,预付,4G,20250505.0,fraud_model_2,41.0,0.0,0.0,0.0,0.0,0,0,0,0,20250912,20250912,36,0,1,41.0,0.9761904761904762,1,0.0,0.0,0,36,Wangiri Caller,4
6mxzYsGV2JNxp90qRRAmgg==,商業登記證,预付,4G,20250413.0,fraud_model_2,31.0,0.0,0.0,0.0,0.0,0,0,0,0,20250910,20250910,6,0,1,31.0,0.96875,1,0.0,0.0,0,6,Wangiri Caller,1
6pTcgqb2jtxuT3r+bksWiw==,香港身份證,预付,4G,20250505.0,fraud_model_2,34.0,0.0,0.0,0.0,0.0,0,0,0,0,20250910,20250910,24,0,1,34.0,0.9714285714285714,1,0.0,0.0,0,24,Wangiri Caller,1
701gTMn1pt5dSweHBd5jCw==,香港身份證,预付,5G,20250902.0,fraud_model_2,23.0,0.0,0.0,0.0,0.0,0,0,0,0,20251005,20251005,12,0,1,23.0,0.9583333333333334,1,0.0,0.0,0,12,Wangiri Caller,1
70u8bnleilpaiAyD3CEtvQ==,香港身份證,预付,4G,20250412.0,fraud_model_2,63.0,0.0,0.0,0.0,0.0,0,0,0,0,20250828,20250828,8,0,1,63.0,0.984375,1,0.0,0.0,0,8,Wangiri Caller,4
72fDpKIqOwxEWYd92gtO5w==,香港身份證,预付,5G,20250903.0,fraud_model_2,43.0,0.0,0.0,0.0,0.0,0,0,0,0,20250930,20250930,12,0,1,43.0,0.9772727272727273,1,0.0,0.0,0,12,Wangiri Caller,4
7BRk2rwG6zup6iO7uUao1A==,護照,预付,4G,20240801.0,fraud_model_2,93.0,0.0,0.0,0.0,0.0,0,0,0,0,20251021,20251021,6,1,1,93.0,0.9893617021276596,1,0.0,0.0,0,6,Wangiri Caller,0
